revenue_id,project_id,month,channel,new_mrr,churned_mrr,expansion_mrr,total_mrr,new_customers,churned_customers
rev-001,proj-001,2024-01,direct,8500,2200,3400,125000,12,3
rev-002,proj-001,2024-02,direct,9200,1800,4100,134500,15,2
rev-003,proj-001,2024-03,direct,7800,2500,2900,142700,11,4
rev-004,proj-002,2024-01,direct,5200,1500,2100,89000,8,2
rev-005,proj-002,2024-02,direct,6100,1200,1800,95700,10,1
rev-006,proj-002,2024-03,direct,5800,2000,2400,101900,9,3
rev-007,proj-003,2024-01,direct,4500,800,1200,34000,18,2
rev-008,proj-003,2024-02,direct,5200,600,900,39500,22,1
rev-009,proj-003,2024-03,direct,4800,1100,1400,44600,20,3
rev-010,proj-004,2024-01,beta,1200,0,0,5200,15,0
rev-011,proj-004,2024-02,beta,1800,200,300,7100,20,1
rev-012,proj-004,2024-03,beta,2100,400,500,9300,25,2
rev-013,proj-005,2024-01,direct,1500,800,400,18000,3,2
rev-014,proj-005,2024-02,direct,1200,600,300,18900,2,1
rev-015,proj-005,2024-03,direct,900,1000,200,19000,1,2
rev-016,proj-001,2024-01,partner,3200,500,800,125000,5,1
rev-017,proj-001,2024-02,partner,4100,400,1200,134500,7,0
rev-018,proj-002,2024-01,partner,1800,300,400,89000,3,0
rev-019,proj-003,2024-01,product_hunt,2800,0,0,34000,35,0
rev-020,proj-003,2024-02,product_hunt,1200,200,0,39500,15,1
