Region,Product,Date,Revenue,Units
North,Widget A,2024-01-01,12500,250
North,Widget B,2024-01-01,9800,180
South,Widget A,2024-01-01,14350,310
South,Widget C,2024-01-01,11200,205
West,Widget A,2024-01-01,8700,165
West,Widget B,2024-01-01,9200,170
North,Widget A,2024-02-01,13100,260
North,Widget B,2024-02-01,10050,190
South,Widget A,2024-02-01,14920,320
South,Widget C,2024-02-01,11880,215
West,Widget A,2024-02-01,9050,172
West,Widget B,2024-02-01,9475,178
North,Widget A,2024-03-01,13780,272
North,Widget B,2024-03-01,10420,196
South,Widget A,2024-03-01,15460,330
South,Widget C,2024-03-01,12340,222
West,Widget A,2024-03-01,9340,178
West,Widget B,2024-03-01,9690,181
