sprint_id,project_id,sprint_number,start_date,end_date,planned_points,completed_points,bugs_found,bugs_fixed,team_size
spr-001,proj-001,45,2024-01-01,2024-01-14,34,31,8,6,4
spr-002,proj-001,46,2024-01-15,2024-01-28,36,35,5,7,4
spr-003,proj-002,32,2024-01-01,2024-01-14,28,28,3,4,3
spr-004,proj-002,33,2024-01-15,2024-01-28,30,27,6,5,3
spr-005,proj-003,12,2024-01-01,2024-01-14,22,20,4,3,2
spr-006,proj-003,13,2024-01-15,2024-01-28,24,24,2,4,2
spr-007,proj-004,4,2024-01-01,2024-01-14,18,15,7,4,2
spr-008,proj-004,5,2024-01-15,2024-01-28,16,14,5,6,2
spr-009,proj-001,47,2024-01-29,2024-02-11,38,36,4,5,4
spr-010,proj-002,34,2024-01-29,2024-02-11,32,30,4,3,3
spr-011,proj-003,14,2024-01-29,2024-02-11,26,25,3,2,2
spr-012,proj-004,6,2024-01-29,2024-02-11,20,18,4,5,2
spr-013,proj-001,48,2024-02-12,2024-02-25,35,34,6,6,4
spr-014,proj-002,35,2024-02-12,2024-02-25,29,29,2,3,3
spr-015,proj-003,15,2024-02-12,2024-02-25,25,23,5,4,2
