subscription_id,user_id,project_id,plan,status,mrr,start_date,billing_cycle,payment_method,seats
sub-001,usr-001,proj-001,enterprise,active,850,2023-02-15,annual,invoice,25
sub-002,usr-001,proj-002,enterprise,active,420,2023-03-01,annual,invoice,25
sub-003,usr-002,proj-001,professional,active,79,2023-04-22,monthly,card,5
sub-004,usr-002,proj-003,professional,active,49,2023-05-01,monthly,card,5
sub-005,usr-003,proj-001,enterprise,active,1200,2023-01-10,annual,wire,50
sub-006,usr-003,proj-002,enterprise,active,680,2023-01-10,annual,wire,50
sub-007,usr-003,proj-004,enterprise,active,320,2024-01-15,monthly,wire,50
sub-008,usr-004,proj-003,starter,active,19,2023-08-05,monthly,card,2
sub-009,usr-005,proj-001,professional,active,79,2023-06-18,monthly,card,8
sub-010,usr-005,proj-003,professional,active,49,2023-07-01,monthly,card,8
sub-011,usr-006,proj-002,enterprise,active,950,2022-11-30,annual,invoice,100
sub-012,usr-007,proj-003,professional,active,49,2023-09-12,monthly,card,4
sub-013,usr-007,proj-004,professional,active,29,2023-10-01,monthly,card,4
sub-014,usr-008,proj-001,enterprise,active,1500,2023-03-28,annual,wire,80
sub-015,usr-008,proj-002,enterprise,active,720,2023-04-15,annual,wire,80
sub-016,usr-009,proj-001,professional,active,79,2023-07-20,monthly,card,6
sub-017,usr-010,proj-003,starter,active,19,2023-10-05,monthly,card,3
sub-018,usr-010,proj-005,developer,active,99,2023-10-15,monthly,card,1
sub-019,usr-011,proj-001,nonprofit,active,39,2023-05-14,monthly,card,10
sub-020,usr-011,proj-003,nonprofit,active,24,2023-06-01,monthly,card,10
sub-021,usr-012,proj-001,enterprise,active,2200,2022-09-08,annual,invoice,150
sub-022,usr-012,proj-002,enterprise,active,1100,2022-10-01,annual,invoice,150
sub-023,usr-012,proj-004,enterprise,active,450,2024-01-20,monthly,invoice,150
sub-024,usr-004,proj-003,starter,churned,19,2023-08-05,monthly,card,2
sub-025,usr-010,proj-003,starter,churned,19,2023-10-05,monthly,card,3
